nd,part_num,OD,L,H,T,OD1,ports_count,end_type,skey,pnp_class,category,family_desc,short_desc
0.1250,SS-200-C,0.1250,0.60,,0.028,,1,SWAGELOK,CP,Cap,Fittings,Swagelok Tube Cap,Swagelok Cap
0.2500,SS-400-C,0.2500,0.68,,0.048,,1,SWAGELOK,CP,Cap,Fittings,Swagelok Tube Cap,Swagelok Cap
0.3750,SS-600-C,0.3750,0.72,,0.065,,1,SWAGELOK,CP,Cap,Fittings,Swagelok Tube Cap,Swagelok Cap
0.5000,SS-810-C,0.5000,0.88,,0.065,,1,SWAGELOK,CP,Cap,Fittings,Swagelok Tube Cap,Swagelok Cap
1.0000,SS-1610-C,1.0000,1.13,,0.095,,1,SWAGELOK,CP,Cap,Fittings,Swagelok Tube Cap,Swagelok Cap
