nd,part_num,OD,L,H,T,OD1,ports_count,end_type,skey,pnp_class,category,family_desc,short_desc
0.0625,SS-100-9,0.0625,0.70,,0.010,,2,PL,EL,Elbow,Fittings,Swagelok 90° Union Elbow,Swagelok 90° Elbow
0.1250,SS-200-9,0.1250,0.88,,0.028,,2,PL,EL,Elbow,Fittings,Swagelok 90° Union Elbow,Swagelok 90° Elbow
0.1875,SS-300-9,0.1875,1.00,,0.030,,2,PL,EL,Elbow,Fittings,Swagelok 90° Union Elbow,Swagelok 90° Elbow
0.2500,SS-400-9,0.2500,1.06,,0.048,,2,PL,EL,Elbow,Fittings,Swagelok 90° Union Elbow,Swagelok 90° Elbow
0.3125,SS-500-9,0.3125,1.13,,0.055,,2,PL,EL,Elbow,Fittings,Swagelok 90° Union Elbow,Swagelok 90° Elbow
0.3750,SS-600-9,0.3750,1.20,,0.065,,2,PL,EL,Elbow,Fittings,Swagelok 90° Union Elbow,Swagelok 90° Elbow
0.5000,SS-810-9,0.5000,1.42,,0.065,,2,PL,EL,Elbow,Fittings,Swagelok 90° Union Elbow,Swagelok 90° Elbow
0.7500,SS-1210-9,0.7500,1.57,,0.075,,2,PL,EL,Elbow,Fittings,Swagelok 90° Union Elbow,Swagelok 90° Elbow
1.0000,SS-1610-9,1.0000,1.93,,0.095,,2,PL,EL,Elbow,Fittings,Swagelok 90° Union Elbow,Swagelok 90° Elbow
