nd,part_num,OD,L,H,T,OD1,ports_count,end_type,skey,pnp_class,category,family_desc,short_desc
0.1250,SS-200-9-45,0.1250,0.73,,0.028,,2,SWAGELOK,EL,Elbow,Fittings,Swagelok 45° Union Elbow,Swagelok 45° Elbow
0.2500,SS-400-9-45,0.2500,0.83,,0.048,,2,SWAGELOK,EL,Elbow,Fittings,Swagelok 45° Union Elbow,Swagelok 45° Elbow
0.3750,SS-600-9-45,0.3750,0.87,,0.065,,2,SWAGELOK,EL,Elbow,Fittings,Swagelok 45° Union Elbow,Swagelok 45° Elbow
0.5000,SS-810-9-45,0.5000,0.98,,0.065,,2,SWAGELOK,EL,Elbow,Fittings,Swagelok 45° Union Elbow,Swagelok 45° Elbow
1.0000,SS-1610-9-45,1.0000,1.31,,0.095,,2,SWAGELOK,EL,Elbow,Fittings,Swagelok 45° Union Elbow,Swagelok 45° Elbow
