nd,part_num,OD,L,H,T,OD1,ports_count,end_type,skey,pnp_class,category,family_desc,short_desc
0.1250,SS-200-4,0.1250,1.76,0.88,0.028,,4,PL,CR,Cross,Fittings,Swagelok Union Cross,Swagelok Union Cross
0.2500,SS-400-4,0.2500,2.12,1.06,0.048,,4,PL,CR,Cross,Fittings,Swagelok Union Cross,Swagelok Union Cross
0.3750,SS-600-4,0.3750,2.40,1.20,0.065,,4,PL,CR,Cross,Fittings,Swagelok Union Cross,Swagelok Union Cross
0.5000,SS-810-4,0.5000,2.84,1.42,0.065,,4,PL,CR,Cross,Fittings,Swagelok Union Cross,Swagelok Union Cross
1.0000,SS-1610-4,1.0000,3.86,1.93,0.095,,4,PL,CR,Cross,Fittings,Swagelok Union Cross,Swagelok Union Cross
