nd,part_num,OD,L,H,T,OD1,ports_count,end_type,skey,pnp_class,category,family_desc,short_desc
0.2500,SS-400-6-2,0.2500,1.52,,0.048,0.1250,2,SWAGELOK,UN,Coupling,Fittings,Swagelok Reducing Union,Swagelok Red. Union
0.3750,SS-600-6-4,0.3750,1.70,,0.065,0.2500,2,SWAGELOK,UN,Coupling,Fittings,Swagelok Reducing Union,Swagelok Red. Union
0.5000,SS-810-6-4,0.5000,1.85,,0.065,0.2500,2,SWAGELOK,UN,Coupling,Fittings,Swagelok Reducing Union,Swagelok Red. Union
0.5000,SS-810-6-6,0.5000,1.91,,0.065,0.3750,2,SWAGELOK,UN,Coupling,Fittings,Swagelok Reducing Union,Swagelok Red. Union
0.7500,SS-1210-6-8,0.7500,2.07,,0.075,0.5000,2,SWAGELOK,UN,Coupling,Fittings,Swagelok Reducing Union,Swagelok Red. Union
1.0000,SS-1610-6-12,1.0000,2.38,,0.095,0.7500,2,SWAGELOK,UN,Coupling,Fittings,Swagelok Reducing Union,Swagelok Red. Union
